"X","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery"
724,"US","Peach, banana peel and a slight petrol note show mildly on the nose. The round palate boasts tart peach, pineapple rind and bitter lemon zest.","Mont Sec Vineyards",85,14,"Texas","Texas","","Alexander Peartree","","Mont Sec 2015 Mont Sec Vineyards Viognier (Texas)","Viognier","Mont Sec"
902,"US","White lily, popcorn kernel, citrus spray and underripe peach lead the well-integrated and restrained nose. The palate follows suit, remaining quiet and delicate in flavor concentration, yet loud in weight and texture. Salty citrus lingers on the finish.","Reserve Bingham Vineyard",87,22,"Texas","Texas High Plains","","Alexander Peartree","","Becker 2014 Reserve Bingham Vineyard Roussanne (Texas High Plains)","Roussanne","Becker"
905,"US","An enticing mix of dark berries and fatty, cured sausage makes for an interesting nose. There's good structure and balance on the palate with this southern Italian transplant. It's juicy, ripe and ready for barbecue.","Super Nero",87,30,"Texas","Texas","","Alexander Peartree","","Brennan 2014 Super Nero Nero d'Avola (Texas)","Nero d'Avola","Brennan"
906,"US","Peach, canned tropical fruit and white flower aromas are pristine on the nose. The medium-bodied palate shows a balance of juicy peach and pineapple, with streaks of chalk and a vein of acidity. This is clean, succinct and perfectly enjoyable on its own.","Reddy Vineyard",87,18,"Texas","Texas High Plains","","Alexander Peartree","","Brennan 2015 Reddy Vineyard Roussanne (Texas High Plains)","Roussanne","Brennan"
1202,"US","There's a solid concentration of red and black berries to the nose of this wine, with tar and soy sauce giving depth. Solid tannic grip on the palate offers support to the array of dark cherry and blackberry alongside sandalwood and smoke.","",87,26,"Texas","Texas","","Alexander Peartree","","Brennan 2014 Tempranillo (Texas)","Tempranillo","Brennan"
2929,"US","Charming and perfumed, with notes of musk, white flowers and wild grapes on the nose and exotic spices in the mouth. This is not a concentrated wine, but there's enough acidity here to balance the slight sweetness and to make it a refreshing apéritif. Drink up.","",84,8,"Texas","Texas","","","","Messina Hof 2009 Muscat Canelli (Texas)","Muscat Canelli","Messina Hof"
4171,"US","Condensed dark cherry and plum meet some savory elements on the nose. Silky on entry, with prickling acidity, the medium-bodied palate boasts juicy black-fruit flavors and red-currant acidity. There's enough tannic structure and fruit here to pair alongside hearty grilled fare.","",87,26,"Texas","Texas","","Alexander Peartree","","Brennan 2013 Tempranillo (Texas)","Tempranillo","Brennan"
4180,"US","For the drinker who likes their fortified wines on the earthy side, this one is for you. Dried leaf aromas recall a crisp autumn day, while fig and date tones give ample dried-fruit depth to the nose. Full and luscious on the palate, rich sultana meets grilled apricot while roasted mixed nuts linger on the finish.","Thomas Jefferson Series Madeira",87,23,"Texas","Texas","","Alexander Peartree","","Haak 2012 Thomas Jefferson Series Madeira Blanc du Bois (Texas)","Blanc du Bois","Haak"
6563,"US","This fortified wine made from Blanc du Bois brings aromas of orange rind, caramel and sultana all under a blanket of a crushed-pill tone. The sweet, luscious palate brings notes of toasted almonds and hazelnuts drizzled in butter.","Light Madeira",85,40,"Texas","Texas","","Alexander Peartree","","Haak 2011 Light Madeira Blanc du Bois (Texas)","Blanc du Bois","Haak"
6567,"US","Dark berries and sweet baking-spice tones carry the nose. The medium-bodied palate brings juicy blackberry flavors showing mild concentration, supported by soft tannins.","Paulo Limited Edition",85,44,"Texas","Texas","","Alexander Peartree","","Messina Hof 2012 Paulo Limited Edition Primitivo (Texas)","Primitivo","Messina Hof"
8414,"US","Vanilla candle wax, pollen and peaches-and-cream aromas are inviting and warm. The luscious body of juicy stone fruit is overcome by soapy floral notes on the midpalate, yet the persistent acid manages to clean up the flavors on the finish.","Reserve",85,25,"Texas","Texas","","Alexander Peartree","","Brennan 2014 Reserve Viognier (Texas)","Viognier","Brennan"
